DATE,YEAR,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,AQI,City
01-08-2024,2024,28.11,31.55,26.15,4.57,49,Vijayawada
02-08-2024,2024,28.07,31.61,25.23,1.86,46,Vijayawada
03-08-2024,2024,29.11,33.35,25.24,0.3,44,Vijayawada
04-08-2024,2024,29.25,33.93,25.71,0.22,45,Vijayawada
05-08-2024,2024,29.3,33.03,25.71,1.68,48,Vijayawada
06-08-2024,2024,27.15,29.04,25.57,41.12,48,Vijayawada
07-08-2024,2024,26.44,28.03,25.18,13.94,45,Vijayawada
08-08-2024,2024,27.92,31.33,24.67,5.87,51,Vijayawada
09-08-2024,2024,28.86,32.79,24.99,0.19,54,Vijayawada
10-08-2024,2024,27.86,30.57,25.9,12.42,55,Vijayawada
11-08-2024,2024,28.57,32.46,25.37,3.49,50,Vijayawada
12-08-2024,2024,29.27,31.98,26.37,0.9,56,Vijayawada
13-08-2024,2024,29.22,32.48,26.65,0.43,54,Vijayawada
14-08-2024,2024,28.86,32.03,26.51,0.06,45,Vijayawada
15-08-2024,2024,28.61,31.72,26.39,0.02,39,Vijayawada
16-08-2024,2024,28.53,31.9,25.88,0.05,44,Vijayawada
17-08-2024,2024,28.54,32.27,25.9,0.25,52,Vijayawada
18-08-2024,2024,28.87,32.32,26.16,0.85,42,Vijayawada
19-08-2024,2024,28.88,32.22,26.32,2.93,53,Vijayawada
20-08-2024,2024,28.68,32.04,26.22,4.04,54,Vijayawada
21-08-2024,2024,28.34,31.99,25.44,2.16,50,Vijayawada
22-08-2024,2024,28.14,31.48,26.23,7.61,36,Vijayawada
23-08-2024,2024,27.75,30.74,25.46,11.38,46,Vijayawada
24-08-2024,2024,27.64,30.79,25.87,2.19,51,Vijayawada
25-08-2024,2024,28.47,33.69,24.68,1.29,45,Vijayawada
26-08-2024,2024,28.36,32.53,24.97,0.38,41,Vijayawada
27-08-2024,2024,27.92,31.82,24.96,1.5,44,Vijayawada
28-08-2024,2024,26.66,28.42,25.12,0.47,43,Vijayawada
29-08-2024,2024,26.66,29.56,24.95,10.41,49,Vijayawada
30-08-2024,2024,26.42,28.93,24.75,52.98,41,Vijayawada
31-08-2024,2024,26.79,29.05,24.98,96.46,41,Vijayawada
01-09-2024,2024,27.08,30.5,24.6,55.98,45,Vijayawada
02-09-2024,2024,26.69,30.25,23.73,2.89,50,Vijayawada
03-09-2024,2024,27.06,29.52,24.52,10.53,46,Vijayawada
04-09-2024,2024,27.23,29.83,25.32,16.92,48,Vijayawada
05-09-2024,2024,27.46,30.38,25.44,7.07,49,Vijayawada
06-09-2024,2024,27.54,30.9,25.06,11.83,80,Vijayawada
07-09-2024,2024,26.51,27.92,25.49,9.1,76,Vijayawada
08-09-2024,2024,25.99,26.87,25.15,27.04,71,Vijayawada
09-09-2024,2024,26.31,28.7,24.62,2.19,73,Vijayawada
10-09-2024,2024,27.15,30.63,24.66,0.16,78,Vijayawada
11-09-2024,2024,27.61,31.28,24.5,0.03,83,Vijayawada
12-09-2024,2024,27.89,32.14,24.18,0.02,79,Vijayawada
13-09-2024,2024,27.38,31.35,24.25,0,98,Vijayawada
14-09-2024,2024,27.28,31.04,23.98,0.01,102,Vijayawada
15-09-2024,2024,27.28,31.93,23.72,0,102,Vijayawada
16-09-2024,2024,26.81,31,23.68,0,91,Vijayawada
17-09-2024,2024,27.58,32.45,23.32,0.27,97,Vijayawada
18-09-2024,2024,27.97,32.42,23.39,0.01,109,Vijayawada
19-09-2024,2024,28.01,32.38,23.59,0.21,106,Vijayawada
20-09-2024,2024,27.58,31,24.92,0.71,103,Vijayawada
21-09-2024,2024,27.04,31.09,24.09,11.01,97,Vijayawada
22-09-2024,2024,27.43,29.89,25.07,0.94,101,Vijayawada
23-09-2024,2024,27.53,31.08,24.49,3.73,101,Vijayawada
24-09-2024,2024,27.84,31.02,25.55,12.22,94,Vijayawada
25-09-2024,2024,27.56,29.88,25.9,16.21,76,Vijayawada
26-09-2024,2024,27.2,30.61,24.97,4.35,71,Vijayawada
27-09-2024,2024,27.42,31.15,25.4,3.39,75,Vijayawada
28-09-2024,2024,27.64,30.82,25.2,1.41,88,Vijayawada
29-09-2024,2024,27.78,31.36,24.81,0.09,75,Vijayawada
30-09-2024,2024,27.97,31.76,24.58,0.03,70,Vijayawada
01-10-2024,2024,28.13,32.48,24.18,0.01,76,Vijayawada
02-10-2024,2024,28.65,32.53,24.6,4.44,76,Vijayawada
03-10-2024,2024,28.43,31.42,26.08,3.52,83,Vijayawada
04-10-2024,2024,28.87,32.03,25.47,0.26,90,Vijayawada
05-10-2024,2024,28.2,30.81,24.83,0.27,111,Vijayawada
06-10-2024,2024,28.21,31.82,25.54,5.31,117,Vijayawada
07-10-2024,2024,27.01,30.5,24.36,5.84,101,Vijayawada
08-10-2024,2024,26.68,30.05,24.07,2.2,72,Vijayawada
09-10-2024,2024,26.99,30.3,24.56,2.39,76,Vijayawada
10-10-2024,2024,26.72,29.34,24.86,10.36,58,Vijayawada
11-10-2024,2024,26.91,29.79,24.96,14.73,56,Vijayawada
12-10-2024,2024,27.1,30.25,25.15,10.67,62,Vijayawada
13-10-2024,2024,27.35,30.9,24.66,3.39,55,Vijayawada
14-10-2024,2024,25.98,27.78,25,23.39,62,Vijayawada
15-10-2024,2024,26.91,29.52,25.15,9.66,68,Vijayawada
16-10-2024,2024,27.03,29.5,24.98,9.21,54,Vijayawada
17-10-2024,2024,27.64,30.05,25.86,5.65,53,Vijayawada
18-10-2024,2024,27.86,30.91,25.89,3.38,48,Vijayawada
19-10-2024,2024,27.21,29.61,25.59,9.98,47,Vijayawada
20-10-2024,2024,26.99,29.76,25.02,6.62,47,Vijayawada
21-10-2024,2024,26.97,30.61,24.01,4.37,51,Vijayawada
22-10-2024,2024,27.32,30.9,24.2,0.63,75,Vijayawada
23-10-2024,2024,26.35,30.15,23.6,0.01,106,Vijayawada
24-10-2024,2024,25.54,30.54,21.62,0,111,Vijayawada
25-10-2024,2024,25.48,30.56,20.89,0,119,Vijayawada
26-10-2024,2024,26.58,30.76,23.62,0.03,46,Vijayawada
27-10-2024,2024,26.58,30.83,22.8,0.01,36,Vijayawada
28-10-2024,2024,26.68,31.06,21.57,0,42,Vijayawada
29-10-2024,2024,27.45,31.67,23.87,0.04,62,Vijayawada
30-10-2024,2024,26.88,31.08,24.08,7.55,122,Vijayawada
31-10-2024,2024,26.4,30.65,23.21,0.87,107,Vijayawada
01-11-2024,2024,26.82,30.9,23.07,0.14,135,Vijayawada
02-11-2024,2024,26.78,31.39,22.62,0.76,120,Vijayawada
03-11-2024,2024,26.17,30.12,22.95,1.31,99,Vijayawada
04-11-2024,2024,26.16,29.9,23.13,0.02,104,Vijayawada
05-11-2024,2024,25.39,30.12,21.51,0,121,Vijayawada
06-11-2024,2024,25.26,30.36,21.11,0.03,129,Vijayawada
07-11-2024,2024,25.87,30.21,21.72,0.01,94,Vijayawada
08-11-2024,2024,25.96,30.23,22.56,0,87,Vijayawada
09-11-2024,2024,25.51,29.93,21.63,0,105,Vijayawada
10-11-2024,2024,25.04,29.93,21.42,0,119,Vijayawada
11-11-2024,2024,24.13,29.27,19.47,0.13,112,Vijayawada
12-11-2024,2024,25.68,30.24,22.5,1.48,85,Vijayawada
13-11-2024,2024,26.44,30.35,23.88,3.46,75,Vijayawada
14-11-2024,2024,26.2,29.66,23.58,1.53,46,Vijayawada
15-11-2024,2024,25.99,29.26,23.83,0.25,46,Vijayawada
16-11-2024,2024,26.08,30.24,23.07,0,51,Vijayawada
17-11-2024,2024,24.99,28.53,22.58,0,114,Vijayawada
18-11-2024,2024,23.62,28.54,20.08,0,150,Vijayawada
19-11-2024,2024,22.74,27.81,18.36,0,120,Vijayawada
20-11-2024,2024,22.92,28.08,17.77,0,119,Vijayawada
21-11-2024,2024,23.05,28.17,17.87,0,106,Vijayawada
22-11-2024,2024,22.99,27.95,18.01,0,106,Vijayawada
23-11-2024,2024,23.5,29.14,17.94,0,77,Vijayawada
24-11-2024,2024,23.59,28.94,18.72,0,112,Vijayawada
25-11-2024,2024,23.12,28.42,19.32,0,109,Vijayawada
26-11-2024,2024,23.1,28.17,19.45,0.02,109,Vijayawada
27-11-2024,2024,22.43,27.51,19.05,0,107,Vijayawada
28-11-2024,2024,23.07,29.1,17.47,0,112,Vijayawada
29-11-2024,2024,24.55,29.22,21.02,1.23,112,Vijayawada
30-11-2024,2024,25.27,28.63,23.4,4.47,77,Vijayawada
01-12-2024,2024,25.56,29.08,23.88,3.56,73,Vijayawada
02-12-2024,2024,26.14,30.18,23.88,2.06,74,Vijayawada
03-12-2024,2024,26.22,30.39,23.57,1.38,83,Vijayawada
04-12-2024,2024,25.89,29.8,23.49,0.43,78,Vijayawada
05-12-2024,2024,25.65,29.54,22.9,1.24,86,Vijayawada
06-12-2024,2024,26.04,30.95,22.35,0.07,82,Vijayawada
07-12-2024,2024,25.9,31.12,22.56,0,77,Vijayawada
08-12-2024,2024,25.72,30.91,21.67,0,83,Vijayawada
